A;RTSALEDATA;224;20200427 01:02;VALNET;
D;224;2552679;30;20200427 01:02;V;;;;;;
D;224;2552679;30;20200427 01:02;V;;;;;;
B;224;2560476;31;20200427 01:02;;;35;LEICESTER WAY;ST CLAIR;2759;625.1;M;20200120;20200420;693000;R2;R;RESIDENCE;;RAA;;0;AQ45632;
C;224;2560476;31;20200427 01:02;114/250488;
D;224;2560476;31;20200427 01:02;P;;;;;;
D;224;2560476;31;20200427 01:02;P;;;;;;
D;224;2560476;31;20200427 01:02;V;;;;;;
D;224;2560476;31;20200427 01:02;V;;;;;;
B;224;2565761;32;20200427 01:02;;;1;MITCHELL ST;ST MARYS;2760;657.6;M;20200310;20200421;694000;R2;R;RESIDENCE;;RAC;;0;AQ49441;
C;224;2565761;32;20200427 01:02;8/26977;
D;224;2565761;32;20200427 01:02;P;;;;;;
D;224;2565761;32;20200427 01:02;P;;;;;;
D;224;2565761;32;20200427 01:02;V;;;;;;
B;224;2555496;33;20200427 01:02;;;6;IBIS PL;ST CLAIR;2759;630;M;20200324;20200421;730000;R2;R;RESIDENCE;;RAA;;0;AQ47993;
C;224;2555496;33;20200427 01:02;1353/259473;
D;224;2555496;33;20200427 01:02;P;;;;;;
D;224;2555496;33;20200427 01:02;P;;;;;;
D;224;2555496;33;20200427 01:02;V;;;;;;
B;224;2582004;34;20200427 01:02;;;5;TARPAN PL;EMU HEIGHTS;2750;625.1;M;20200311;20200423;1100000;R2;R;RESIDENCE;;RBC;;0;AQ55815;
C;224;2582004;34;20200427 01:02;5037/776517;
D;224;2582004;34;20200427 01:02;P;;;;;;
D;224;2582004;34;20200427 01:02;P;;;;;;
D;224;2582004;34;20200427 01:02;V;;;;;;
D;224;2582004;34;20200427 01:02;V;;;;;;
B;224;2560659;35;20200427 01:02;;;1;LEONARD ST;COLYTON;2760;847.3;M;20200306;20200417;870000;R2;R;RESIDENCE;;RAC;;0;AQ41095;
C;224;2560659;35;20200427 01:02;7/29888;
D;224;2560659;35;20200427 01:02;P;;;;;;
D;224;2560659;35;20200427 01:02;P;;;;;;
D;224;2560659;35;20200427 01:02;V;;;;;;
B;224;2553312;36;20200427 01:02;;;24;HEAVEY ST;WERRINGTON;2747;653;M;20200312;20200423;695000;R2;R;RESIDENCE;;RAP;;0;AQ54468;
C;224;2553312;36;20200427 01:02;5/259459;
D;224;2553312;36;20200427 01:02;P;;;;;;
D;224;2553312;36;20200427 01:02;P;;;;;;
D;224;2553312;36;20200427 01:02;V;;;;;;
D;224;2553312;36;20200427 01:02;V;;;;;;
B;224;2561105;37;20200427 01:02;;;3;LEWIS RD;CAMBRIDGE GARDENS;2747;557.6;M;20200219;20200422;650000;R2;R;RESIDENCE;;RGU;;0;AQ52054;
C;224;2561105;37;20200427 01:02;6/246681;
D;224;2561105;37;20200427 01:02;P;;;;;;
D;224;2561105;37;20200427 01:02;P;;;;;;
D;224;2561105;37;20200427 01:02;V;;;;;;
D;224;2561105;37;20200427 01:02;V;;;;;;
B;224;2569145;38;20200427 01:02;;;6;OHIO PL;ERSKINE PARK;2759;648.1;M;20200308;20200417;800000;R2;R;RESIDENCE;;RAA;;0;AQ43039;
C;224;2569145;38;20200427 01:02;522/775999;
D;224;2569145;38;20200427 01:02;P;;;;;;
D;224;2569145;38;20200427 01:02;P;;;;;;
D;224;2569145;38;20200427 01:02;V;;;;;;
D;224;2569145;38;20200427 01:02;V;;;;;;
B;224;2585183;39;20200427 01:02;;3;30 A;UNION RD;PENRITH;2750;;;20200309;20200420;386000;;R;RESIDENCE;3;;;0;AQ45614;
C;224;2585183;39;20200427 01:02;3/SP12721;
D;224;2585183;39;20200427 01:02;P;;;;;;
D;224;2585183;39;20200427 01:02;P;;;;;;
D;224;2585183;39;20200427 01:02;V;;;;;;
B;224;2582775;40;20200427 01:02;;;81;THE NORTHERN ROAD;LONDONDERRY;2753;9712;M;20200219;20200420;1400000;RU4;R;RESIDENCE;;RLO;;0;AQ44597;
C;224;2582775;40;20200427 01:02;9/129475;
D;224;2582775;40;20200427 01:02;P;;;;;;
D;224;2582775;40;20200427 01:02;P;;;;;;
D;224;2582775;40;20200427 01:02;V;;;;;;
D;224;2582775;40;20200427 01:02;V;;;;;;
B;224;2561555;41;20200427 01:02;;;9;LINKSVIEW AVE;LEONAY;2750;695.6;M;20191210;20200421;1170000;R2;R;RESIDENCE;;RGN;;0;AQ49563;
C;224;2561555;41;20200427 01:02;35/218969;
D;224;2561555;41;20200427 01:02;P;;;;;;
D;224;2561555;41;20200427 01:02;P;;;;;;
D;224;2561555;41;20200427 01:02;V;;;;;;
D;224;2561555;41;20200427 01:02;V;;;;;;
B;224;2566874;42;20200427 01:02;;;1257;MULGOA RD;MULGOA;2745;930.4;M;20200307;20200417;780000;RU5;R;RESIDENCE;;RSV;;0;AQ41635;
C;224;2566874;42;20200427 01:02;21/707580;
D;224;2566874;42;20200427 01:02;P;;;;;;
D;224;2566874;42;20200427 01:02;P;;;;;;
D;224;2566874;42;20200427 01:02;V;;;;;;
D;224;2566874;42;20200427 01:02;V;;;;;;
B;224;2575113;43;20200427 01:02;;;96;RIVER RD;EMU PLAINS;2750;834.7;M;20191115;20200420;2100000;R2;R;RESIDENCE;;RBX;;0;AQ46244;
C;224;2575113;43;20200427 01:02;3/38574;
D;224;2575113;43;20200427 01:02;P;;;;;;
D;224;2575113;43;20200427 01:02;V;;;;;;
D;224;2575113;43;20200427 01:02;V;;;;;;
B;224;2554288;44;20200427 01:02;;;7;HILLCREST RD;EMU HEIGHTS;2750;695.6;M;20200224;20200417;922500;R2;R;RESIDENCE;;RBC;;0;AQ43974;
C;224;2554288;44;20200427 01:02;141/16478;
D;224;2554288;44;20200427 01:02;P;;;;;;
D;224;2554288;44;20200427 01:02;P;;;;;;
D;224;2554288;44;20200427 01:02;V;;;;;;
D;224;2554288;44;20200427 01:02;V;;;;;;
B;224;2556994;45;20200427 01:02;;;14;JILLAK CL;GLENMORE PARK;2745;456.1;M;20200210;20200421;650000;R2;R;RESIDENCE;;RKL;;0;AQ48067;
C;224;2556994;45;20200427 01:02;21/836568;
D;224;2556994;45;20200427 01:02;P;;;;;;
D;224;2556994;45;20200427 01:02;P;;;;;;
D;224;2556994;45;20200427 01:02;V;;;;;;
D;224;2556994;45;20200427 01:02;V;;;;;;
