A;005;20110801 01:53;VALNET;
D;005;3586119;38;20110801 01:53;V;;;;;;
B;005;3586121;39;20110801 01:53;;;8;LES CCT;GILLIESTON HEIGHTS;2321;593.3;M;20110128;20110630;177000;A;V;VACANT LAND;;GA;;0;AG382429;
C;005;3586121;39;20110801 01:53;427/1157274;
D;005;3586121;39;20110801 01:53;P;;;;;;
D;005;3586121;39;20110801 01:53;P;;;;;;
D;005;3586121;39;20110801 01:53;V;;;;;;
B;005;3586122;40;20110801 01:53;;;6;LES CCT;GILLIESTON HEIGHTS;2321;580.3;M;20110214;20110630;175000;A;R;RESIDENCE;;GA;;0;AG363124;
C;005;3586122;40;20110801 01:53;428/1157274;
D;005;3586122;40;20110801 01:53;P;;;;;;
D;005;3586122;40;20110801 01:53;P;;;;;;
D;005;3586122;40;20110801 01:53;V;;;;;;
B;005;3586125;41;20110801 01:53;;;13;CHAMPION CRES;GILLIESTON HEIGHTS;2321;717.2;M;20110504;20110628;176700;A;V;VACANT LAND;;GA;;0;AG368203;
C;005;3586125;41;20110801 01:53;431/1157274;
D;005;3586125;41;20110801 01:53;P;;;;;;
D;005;3586125;41;20110801 01:53;V;;;;;;
B;005;3586125;42;20110801 01:53;;;13;CHAMPION CRES;GILLIESTON HEIGHTS;2321;717.2;M;20110504;20110628;186000;A;V;VACANT LAND;;GA;;0;AG368204;
C;005;3586125;42;20110801 01:53;431/1157274;
D;005;3586125;42;20110801 01:53;P;;;;;;
D;005;3586125;42;20110801 01:53;P;;;;;;
D;005;3586125;42;20110801 01:53;V;;;;;;
B;005;3586129;43;20110801 01:53;;;21;CHAMPION CRES;GILLIESTON HEIGHTS;2321;509.6;M;20110602;20110630;166000;A;V;VACANT LAND;;GA;;0;AG358493;
C;005;3586129;43;20110801 01:53;435/1157274;
D;005;3586129;43;20110801 01:53;P;;;;;;
D;005;3586129;43;20110801 01:53;P;;;;;;
D;005;3586129;43;20110801 01:53;V;;;;;;
B;005;3585574;44;20110801 01:53;;;2;PORTABELLO CRES;THORNTON;2322;992.2;M;20110506;20110707;199000;A;V;VACANT LAND;;GM;;0;AG371105;
C;005;3585574;44;20110801 01:53;1/1156731;
D;005;3585574;44;20110801 01:53;P;;;;;;
D;005;3585574;44;20110801 01:53;V;;;;;;
B;005;3585575;45;20110801 01:53;;;4;PORTABELLO CRES;THORNTON;2322;808.7;M;20110506;20110707;199000;A;V;VACANT LAND;;GM;;0;AG371117;
C;005;3585575;45;20110801 01:53;2/1156731;
D;005;3585575;45;20110801 01:53;P;;;;;;
D;005;3585575;45;20110801 01:53;V;;;;;;
B;005;3592297;46;20110801 01:53;;;;BELMORE RD;LORN;2320;626;M;20110318;20110624;132500;;V;VACANT LAND;;;;0;AG356114;
C;005;3592297;46;20110801 01:53;1/18562;
D;005;3592297;46;20110801 01:53;P;;;;;;
D;005;3592297;46;20110801 01:53;V;;;;;;
B;005;3576560;47;20110801 01:53;;2;112;CHELMSFORD DR;METFORD;2323;;;20100409;20110628;300800;;R;RESIDENCE;2;;;0;AG374921;
C;005;3576560;47;20110801 01:53;2/SP85288;
