A;008;20030501 12:36;PBARBER;
D;008;215652;29;20030501 12:37;P;;;;;;
D;008;215652;29;20030501 12:37;P;;;;;;
D;008;215652;29;20030501 12:37;V;;;;;;
D;008;215652;29;20030501 12:37;V;;;;;;
B;008;215685;30;20030501 12:37;;;66;CROUDACE ST;LAMBTON;2299;581.7;M;20030206;20030313;230000;A;R;RESIDENCE;;FK;AC;;9472695;
C;008;215685;30;20030501 12:37;15, 15A//24976;
D;008;215685;30;20030501 12:37;P;;;;;;
D;008;215685;30;20030501 12:37;P;;;;;;
D;008;215685;30;20030501 12:37;V;;;;;;
D;008;215685;30;20030501 12:37;V;;;;;;
B;008;215926;31;20030501 12:37;;;9;CURRY ST;MEREWETHER;2291;695.6;M;20021125;20021223;955000;A;R;RESIDENCE;;HL;;;9528084;
C;008;215926;31;20030501 12:37;52/8A/111244;
D;008;215926;31;20030501 12:37;P;;;;;;
D;008;215926;31;20030501 12:37;P;;;;;;
D;008;215926;31;20030501 12:37;V;;;;;;
D;008;215926;31;20030501 12:37;V;;;;;;
B;008;216293;32;20030501 12:37;;;4;DANIEL ST;ISLINGTON;2296;193.9;M;20030207;20030314;185000;A;R;RESIDENCE;;DE;;;9532385;
C;008;216293;32;20030501 12:37;1//198612;
D;008;216293;32;20030501 12:37;P;;;;;;
D;008;216293;32;20030501 12:37;V;;;;;;
D;008;216293;32;20030501 12:37;V;;;;;;
B;008;216616;33;20030501 12:37;;;158;DARBY ST;COOKS HILL;2300;668;M;20030226;20030226;560000;B;3;OFFICES;;LQ;;;9529935;
C;008;216616;33;20030501 12:37;1422//881211;
D;008;216616;33;20030501 12:37;P;;;;;;
D;008;216616;33;20030501 12:37;V;;;;;;
B;008;217109;34;20030501 12:37;;;54;DAWSON ST;COOKS HILL;2300;449;M;20030117;20030228;520000;A;R;RESIDENCE;;KA;;;9524989;
C;008;217109;34;20030501 12:37;1071//534303;
D;008;217109;34;20030501 12:37;P;;;;;;
D;008;217109;34;20030501 12:37;V;;;;;;
B;008;217757;35;20030501 12:37;;;26;DENISON ST;MAYFIELD;2304;;;20030204;20030319;200000;A;R;RESIDENCE;;JX;;;9536148;
C;008;217757;35;20030501 12:37;1//450256;
D;008;217757;35;20030501 12:37;P;;;;;;
D;008;217757;35;20030501 12:37;V;;;;;;
D;008;217757;35;20030501 12:37;V;;;;;;
B;008;217832;36;20030501 12:37;;;10;DENNEY ST;BROADMEADOW;2292;3251;M;20030408;20030409;1000000;I;3;FACTORY;;GK;;;9547478;
C;008;217832;36;20030501 12:37;3//578356;
D;008;217832;36;20030501 12:37;P;;;;;;
D;008;217832;36;20030501 12:37;V;;;;;;
D;008;217832;36;20030501 12:37;V;;;;;;
B;008;218704;37;20030501 12:37;;;22;DOUGLAS ST;STOCKTON;2295;533.6;M;20030314;20030404;315000;A;R;RESIDENCE;;HN;;;9526585;
C;008;218704;37;20030501 12:37;1, 2//194338;
D;008;218704;37;20030501 12:37;P;;;;;;
D;008;218704;37;20030501 12:37;P;;;;;;
D;008;218704;37;20030501 12:37;V;;;;;;
B;008;219202;38;20030501 12:37;;;57;DUMARESQ ST;HAMILTON EAST;2303;;;20030223;20030402;585000;A;R;RESIDENCE;;FV;;;9541662;
C;008;219202;38;20030501 12:37;9//95006;
D;008;219202;38;20030501 12:37;P;;;;;;
D;008;219202;38;20030501 12:37;P;;;;;;
D;008;219202;38;20030501 12:37;V;;;;;;
B;008;219493;39;20030501 12:37;;;2;DUNLOP CL;RANKIN PARK;2287;493.2;M;20030227;20030407;267000;A;R;RESIDENCE;;AK;;;9531242;
C;008;219493;39;20030501 12:37;16//239947;
D;008;219493;39;20030501 12:37;P;;;;;;
D;008;219493;39;20030501 12:37;V;;;;;;
D;008;219493;39;20030501 12:37;V;;;;;;
B;008;219899;40;20030501 12:37;;;6;EDWIN ST;MARYVILLE;2293;;;20030307;20030411;218000;A;R;RESIDENCE;;DF;;;9550433;
C;008;219899;40;20030501 12:37;8//344635;
D;008;219899;40;20030501 12:37;P;;;;;;
D;008;219899;40;20030501 12:37;V;;;;;;
D;008;219899;40;20030501 12:37;V;;;;;;
B;008;220091;41;20030501 12:37;;;132;ELDER RD;LAMBTON;2299;466.73;M;20021224;20030128;290000;A;R;RESIDENCE;;FB;;;9525920;
C;008;220091;41;20030501 12:37;1//944518;
D;008;220091;41;20030501 12:37;P;;;;;;
D;008;220091;41;20030501 12:37;P;;;;;;
D;008;220091;41;20030501 12:37;V;;;;;;
B;008;220577;42;20030501 12:37;;;14;EMERALD ST;HAMILTON NORTH;2292;428.9;M;20030224;20030407;240000;A;R;RESIDENCE;;FQ;;;9525992;
C;008;220577;42;20030501 12:37;91//850386;
D;008;220577;42;20030501 12:37;P;;;;;;
D;008;220577;42;20030501 12:37;P;;;;;;
D;008;220577;42;20030501 12:37;P;;;;;;
D;008;220577;42;20030501 12:37;P;;;;;;
D;008;220577;42;20030501 12:37;V;;;;;;
B;008;220784;43;20030501 12:37;;;24;ERRINGTON AVE;NEW LAMBTON;2305;486.9;M;20030303;20030410;345000;A;R;RESIDENCE;;FE;;;9542635;
C;008;220784;43;20030501 12:37;46/2/8570;
D;008;220784;43;20030501 12:37;P;;;;;;
D;008;220784;43;20030501 12:37;V;;;;;;
B;008;220853;44;20030501 12:37;;;62;ESTELL ST;MARYVILLE;2293;;;20030213;20030331;200000;A;R;RESIDENCE;;DF;;;9533701;
C;008;220853;44;20030501 12:37;1/M/5062;
D;008;220853;44;20030501 12:37;P;;;;;;
D;008;220853;44;20030501 12:37;V;;;;;;
B;008;220875;45;20030501 12:37;;;12;ESTELL ST;MARYVILLE;2293;;;20030225;20030402;248000;A;R;RESIDENCE;;DF;;;9545132;
C;008;220875;45;20030501 12:37;A//342489;
D;008;220875;45;20030501 12:37;P;;;;;;
D;008;220875;45;20030501 12:37;V;;;;;;
B;008;221477;46;20030501 12:37;;;88;FAWCETT ST;MAYFIELD;2304;308.6;M;20030211;20030318;253000;A;R;RESIDENCE;;JD;AC;;9485730;
C;008;221477;46;20030501 12:37;54/K/975643;
D;008;221477;46;20030501 12:37;P;;;;;;
D;008;221477;46;20030501 12:37;V;;;;;;
B;008;221839;47;20030501 12:37;;;22;FIFTH ST;NORTH LAMBTON;2299;;;20030204;20030305;190000;A;R;RESIDENCE;;JH;;;9528358;
C;008;221839;47;20030501 12:37;35//21187;
D;008;221839;47;20030501 12:37;P;;;;;;
D;008;221839;47;20030501 12:37;P;;;;;;
D;008;221839;47;20030501 12:37;V;;;;;;
D;008;221839;47;20030501 12:37;V;;;;;;
B;008;222253;48;20030501 12:37;;;22 A;FLETCHER ST;BERESFIELD;2322;294.7;M;20030318;20030331;165000;A;R;RESIDENCE;;DA;;;9534606;
C;008;222253;48;20030501 12:37;502//846811;
D;008;222253;48;20030501 12:37;P;;;;;;
D;008;222253;48;20030501 12:37;V;;;;;;
B;008;222383;49;20030501 12:37;;;;FLORALIA CL;NEW LAMBTON HEIGHTS;2305;878.9;M;20030214;20030314;528000;A;V;VACANT LAND;;FH;;;9515894;
C;008;222383;49;20030501 12:37;19//226708;
D;008;222383;49;20030501 12:37;P;;;;;;
