A;003;20020102 13:56;PTHIRLWELL;
B;003;28057;26;20020102 13:56;;3;18;AUGUSTA ST;UMINA;2257;;;20011005;20011129;265000;;R;RESIDENCE;3;;XA;;8177806;
C;003;28057;26;20020102 13:56;3//SP 3189;
D;003;28057;26;20020102 13:56;P;;;;;;
D;003;28057;26;20020102 13:56;V;;;;;;
D;003;28057;26;20020102 13:56;V;;;;;;
B;003;28096;27;20020102 13:56;;4;19;AUGUSTA ST;UMINA;2257;;;20011024;20011206;258000;;R;RESIDENCE;4;;;;8207836;
C;003;28096;27;20020102 13:56;4//SP 31650;
D;003;28096;27;20020102 13:56;P;;;;;;
D;003;28096;27;20020102 13:56;P;;;;;;
D;003;28096;27;20020102 13:56;V;;;;;;
B;003;28143;28;20020102 13:56;;;27;AULD ST;TERRIGAL;2260;777.8;M;20011004;20011126;420000;A;R;RESIDENCE;;MC;AC;;8159476;
C;003;28143;28;20020102 13:56;A//357877;
D;003;28143;28;20020102 13:56;P;;;;;;
D;003;28143;28;20020102 13:56;V;;;;;;
B;003;28351;29;20020102 13:56;;;11;AVIA AVE;ERINA;2250;660.6;M;20011116;20011129;186500;A;V;VACANT LAND;;GU;;;8204567;
C;003;28351;29;20020102 13:56;323//1013354;
D;003;28351;29;20020102 13:56;P;;;;;;
D;003;28351;29;20020102 13:56;P;;;;;;
D;003;28351;29;20020102 13:56;V;;;;;;
B;003;28402;30;20020102 13:56;;;203;AVOCA DR;GREEN POINT;2251;4382;M;20011105;20011130;1750000;B;3;SHOPPING CENT;;CU;AC;;8180649;
C;003;28402;30;20020102 13:56;2//506904;
D;003;28402;30;20020102 13:56;P;;;;;;
D;003;28402;30;20020102 13:56;V;;;;;;
B;003;28584;31;20020102 13:56;;2;208;AVOCA DR;GREEN POINT;2251;;;20011120;20011212;195000;;3;VILLA;2;;;;8204687;
C;003;28584;31;20020102 13:56;2//20261;
D;003;28584;31;20020102 13:56;P;;;;;;
D;003;28584;31;20020102 13:56;P;;;;;;
D;003;28584;31;20020102 13:56;V;;;;;;
B;003;28884;32;20020102 13:56;;1;172;AVOCA DR;AVOCA BEACH;2251;;;20011024;20011114;420000;;R;RESIDENCE;1;;;;8204770;
C;003;28884;32;20020102 13:56;1//33183;
D;003;28884;32;20020102 13:56;P;;;;;;
D;003;28884;32;20020102 13:56;V;;;;;;
B;003;29028;33;20020102 13:56;;5;34;AVOCA DR;AVOCA BEACH;2251;;;20011027;20011206;325000;;R;RESIDENCE;5;;XA;;8190923;
C;003;29028;33;20020102 13:56;5//35156;
D;003;29028;33;20020102 13:56;P;;;;;;
D;003;29028;33;20020102 13:56;V;;;;;;
B;003;29334;34;20020102 13:56;;;13;AVON CL;TERRIGAL;2260;587.8;M;20011009;20011109;385000;A;R;RESIDENCE;;GQ;AC;;8184675;
C;003;29334;34;20020102 13:56;65//801139;
D;003;29334;34;20020102 13:56;P;;;;;;
D;003;29334;34;20020102 13:56;P;;;;;;
D;003;29334;34;20020102 13:56;V;;;;;;
