A;004;20020617 11:49;PDANN;
D;004;111237;24;20020617 11:49;V;;;;;;
B;004;111652;25;20020617 11:49;;;18;ALICE ST;CARDIFF;2285;;;20020419;20020524;190000;A;R;RESIDENCE;;CG;;;8652620;
C;004;111652;25;20020617 11:49;4//15620;
D;004;111652;25;20020617 11:49;P;;;;;;
D;004;111652;25;20020617 11:49;V;;;;;;
D;004;111652;25;20020617 11:49;V;;;;;;
B;004;112670;26;20020617 11:49;;;62;CLARENCE ST;GLENDALE;2285;973.8;M;20020430;20020531;160000;A;R;RESIDENCE;;CT;;;8669805;
C;004;112670;26;20020617 11:49;4//201181;
D;004;112670;26;20020617 11:49;P;;;;;;
D;004;112670;26;20020617 11:49;V;;;;;;
B;004;113052;27;20020617 11:49;;;69;DELASALA DR;MACQUARIE HILLS;2285;522;M;20020429;20020521;171500;A;R;RESIDENCE;;CZ;;;8662379;
C;004;113052;27;20020617 11:49;626//249384;
D;004;113052;27;20020617 11:49;P;;;;;;
D;004;113052;27;20020617 11:49;V;;;;;;
D;004;113052;27;20020617 11:49;V;;;;;;
B;004;113079;28;20020617 11:49;;;15;DELASALA DR;MACQUARIE HILLS;2285;;;20020319;20020423;175000;A;R;RESIDENCE;;CZ;AC;;8564488;
C;004;113079;28;20020617 11:49;422//244910;
D;004;113079;28;20020617 11:49;P;;;;;;
D;004;113079;28;20020617 11:49;V;;;;;;
D;004;113079;28;20020617 11:49;V;;;;;;
B;004;113199;29;20020617 11:49;;;1;HASLUCK DR;RANKIN PARK;2287;809.4;M;20020221;20020404;215000;A;R;RESIDENCE;;DA;AC;;8572224;
C;004;113199;29;20020617 11:49;229//242005;
D;004;113199;29;20020617 11:49;P;;;;;;
D;004;113199;29;20020617 11:49;P;;;;;;
D;004;113199;29;20020617 11:49;V;;;;;;
D;004;113199;29;20020617 11:49;V;;;;;;
B;004;113227;30;20020617 11:49;;;1;KINGSWAY AVE;RANKIN PARK;2287;;;20020429;20020517;260000;A;R;RESIDENCE;;DA;;;8647299;
C;004;113227;30;20020617 11:49;23//238993;
D;004;113227;30;20020617 11:49;P;;;;;;
D;004;113227;30;20020617 11:49;P;;;;;;
D;004;113227;30;20020617 11:49;V;;;;;;
B;004;113980;31;20020617 11:49;;;13;GRAHAM ST;GLENDALE;2285;600.7;M;20020305;20020531;190000;A;R;RESIDENCE;;CT;;;8668643;
C;004;113980;31;20020617 11:49;7//27611;
D;004;113980;31;20020617 11:49;P;;;;;;
D;004;113980;31;20020617 11:49;V;;;;;;
D;004;113980;31;20020617 11:49;V;;;;;;
B;004;114146;32;20020617 11:49;;;180;GRANDVIEW RD;NEW LAMBTON HEIGHTS;2305;556.2;M;20020507;20020517;335000;A;R;RESIDENCE;;DA;;;8650097;
C;004;114146;32;20020617 11:49;321//246521;
D;004;114146;32;20020617 11:49;P;;;;;;
D;004;114146;32;20020617 11:49;P;;;;;;
D;004;114146;32;20020617 11:49;V;;;;;;
B;004;114646;33;20020617 11:49;;;5;HILLVIEW CRESENT;CARDIFF;2285;600;M;20020507;20020531;295000;A;R;RESIDENCE;;CZ;;;8662304;
C;004;114646;33;20020617 11:49;133//846847;
D;004;114646;33;20020617 11:49;P;;;;;;
D;004;114646;33;20020617 11:49;P;;;;;;
D;004;114646;33;20020617 11:49;V;;;;;;
D;004;114646;33;20020617 11:49;V;;;;;;
B;004;115993;34;20020617 11:49;;;395;MAIN RD;CARDIFF;2285;708.2;M;20020301;20020517;120453;A;R;RESIDENCE;;CA;;;8671599;
C;004;115993;34;20020617 11:49;4//16174;
D;004;115993;34;20020617 11:49;P;;;;;;
D;004;115993;34;20020617 11:49;V;;;;;;
D;004;115993;34;20020617 11:49;V;;;;;;
B;004;116514;35;20020617 11:49;;;58;MARSHALL ST;NEW LAMBTON HEIGHTS;2305;524.9;M;20020318;20020418;237000;A;R;RESIDENCE;;DA;AC;;8576547;
C;004;116514;35;20020617 11:49;PT 5//19283;
D;004;116514;35;20020617 11:49;P;;;;;;
D;004;116514;35;20020617 11:49;P;;;;;;
D;004;116514;35;20020617 11:49;V;;;;;;
B;004;117097;36;20020617 11:49;;;147;MYALL RD;CARDIFF;2285;527.2;M;20020405;20020507;150000;A;R;RESIDENCE;;CK;;;8643870;
C;004;117097;36;20020617 11:49;2//619355;
D;004;117097;36;20020617 11:49;P;;;;;;
D;004;117097;36;20020617 11:49;V;;;;;;
B;004;117449;37;20020617 11:49;;;19;PARK RD;GARDEN SUBURB;2289;;;20020326;20020516;175000;A;R;RESIDENCE;;DL;;;8647979;
C;004;117449;37;20020617 11:49;1//369248;
D;004;117449;37;20020617 11:49;P;;;;;;
D;004;117449;37;20020617 11:49;P;;;;;;
D;004;117449;37;20020617 11:49;V;;;;;;
D;004;117449;37;20020617 11:49;V;;;;;;
B;004;117791;38;20020617 11:49;;;15;PLYMOUTH CL;MACQUARIE HILLS;2285;;;20020315;20020419;228000;A;R;RESIDENCE;;CZ;AC;;8556892;
C;004;117791;38;20020617 11:49;211//242487;
D;004;117791;38;20020617 11:49;P;;;;;;
D;004;117791;38;20020617 11:49;V;;;;;;
D;004;117791;38;20020617 11:49;V;;;;;;
B;004;118138;39;20020617 11:49;;;147;RESERVOIR RD;CARDIFF HEIGHTS;2285;733.5;M;20020415;20020522;164200;A;R;RESIDENCE;;CM;;;8649287;
C;004;118138;39;20020617 11:49;1//502009;
D;004;118138;39;20020617 11:49;P;;;;;;
D;004;118138;39;20020617 11:49;V;;;;;;
B;004;118686;40;20020617 11:49;;;24;SIXTH ST;CARDIFF SOUTH;2285;;;20020523;20020523;83333;A;R;RESIDENCE;;CG;;;8649469;
C;004;118686;40;20020617 11:49;4/E/16054;
D;004;118686;40;20020617 11:49;P;;;;;;
D;004;118686;40;20020617 11:49;V;;;;;;
D;004;118686;40;20020617 11:49;V;;;;;;
D;004;118686;40;20020617 11:49;V;;;;;;
B;004;118839;41;20020617 11:49;;;12;SUNDEW CL;GARDEN SUBURB;2289;632.6;M;20020402;20020410;110000;A;R;RESIDENCE;;DT;;;8661382;
C;004;118839;41;20020617 11:49;228//862454;
D;004;118839;41;20020617 11:49;P;;;;;;
D;004;118839;41;20020617 11:49;P;;;;;;
D;004;118839;41;20020617 11:49;V;;;;;;
B;004;119127;42;20020617 11:49;;;3;VIA ROSSI CL;GARDEN SUBURB;2289;788.9;M;20020315;20020426;156000;A;V;VACANT LAND;;DT;;;8643066;
C;004;119127;42;20020617 11:49;10//1013209;
D;004;119127;42;20020617 11:49;P;;;;;;
D;004;119127;42;20020617 11:49;P;;;;;;
D;004;119127;42;20020617 11:49;V;;;;;;
D;004;119127;42;20020617 11:49;V;;;;;;
B;004;119260;43;20020617 11:49;;;240;WALLSEND RD;CARDIFF HEIGHTS;2285;7555;M;20020213;20020419;195000;A;V;VACANT LAND;;XA;;;8651444;
C;004;119260;43;20020617 11:49;230//604993;
D;004;119260;43;20020617 11:49;P;;;;;;
D;004;119260;43;20020617 11:49;V;;;;;;
D;004;119260;43;20020617 11:49;V;;;;;;
B;004;119442;44;20020617 11:49;;;3;WHITEGUM WAY;GARDEN SUBURB;2289;779.6;M;20020328;20020509;377000;A;R;RESIDENCE;;DT;;;8659932;
C;004;119442;44;20020617 11:49;137//847706;
D;004;119442;44;20020617 11:49;P;;;;;;
D;004;119442;44;20020617 11:49;P;;;;;;
D;004;119442;44;20020617 11:49;V;;;;;;
D;004;119442;44;20020617 11:49;V;;;;;;
B;004;119562;45;20020617 11:49;;;22;CLARKE ST;CATHERINE HILL BAY;2281;1037;M;20020227;20020423;385000;A;R;RESIDENCE;;KN;;;8653255;
C;004;119562;45;20020617 11:49;77//222717;
D;004;119562;45;20020617 11:49;P;;;;;;
D;004;119562;45;20020617 11:49;P;;;;;;
D;004;119562;45;20020617 11:49;V;;;;;;
D;004;119562;45;20020617 11:49;V;;;;;;
B;004;119686;46;20020617 11:49;;;30;ABERFELDY CL;CHARLESTOWN;2290;;;20020118;20020418;324500;A;R;RESIDENCE;;EF;AC;;8578193;
C;004;119686;46;20020617 11:49;120//243393;
D;004;119686;46;20020617 11:49;P;;;;;;
D;004;119686;46;20020617 11:49;P;;;;;;
D;004;119686;46;20020617 11:49;V;;;;;;
D;004;119686;46;20020617 11:49;V;;;;;;
B;004;120473;47;20020617 11:49;;48;1;ROBERTS ST;CHARLESTOWN;2290;;;20020325;20020506;139500;;R;RESIDENCE;48;;;;8643413;
C;004;120473;47;20020617 11:49;48//17126;
D;004;120473;47;20020617 11:49;P;;;;;;
D;004;120473;47;20020617 11:49;V;;;;;;
B;004;120587;48;20020617 11:49;;;9;CHELSTON CL;CHARLESTOWN;2290;739.8;M;20020409;20020524;233000;A;R;RESIDENCE;;EV;;;8652702;
C;004;120587;48;20020617 11:49;6//241077;
D;004;120587;48;20020617 11:49;P;;;;;;
D;004;120587;48;20020617 11:49;P;;;;;;
D;004;120587;48;20020617 11:49;V;;;;;;
D;004;120587;48;20020617 11:49;V;;;;;;
B;004;121181;49;20020617 11:49;;;22;DUDLEY RD;CHARLESTOWN;2290;556.4;M;20020507;20020603;151000;A;R;RESIDENCE;;EN;;;8659153;
C;004;121181;49;20020617 11:49;5//26102;
D;004;121181;49;20020617 11:49;P;;;;;;
D;004;121181;49;20020617 11:49;P;;;;;;
D;004;121181;49;20020617 11:49;V;;;;;;
B;004;121190;50;20020617 11:49;;;40;DUDLEY RD;CHARLESTOWN;2290;784.1;M;20020220;20020528;257000;A;R;RESIDENCE;;EN;;;8658571;
C;004;121190;50;20020617 11:49;8//20350;
D;004;121190;50;20020617 11:49;P;;;;;;
D;004;121190;50;20020617 11:49;P;;;;;;
D;004;121190;50;20020617 11:49;P;;;;;;
D;004;121190;50;20020617 11:49;V;;;;;;
D;004;121190;50;20020617 11:49;V;;;;;;
B;004;121367;51;20020617 11:49;;;89;E K AVE;CHARLESTOWN;2290;600.7;M;20020427;20020529;92500;A;R;RESIDENCE;;EE;;;8658676;
C;004;121367;51;20020617 11:49;1//381245;
D;004;121367;51;20020617 11:49;P;;;;;;
D;004;121367;51;20020617 11:49;V;;;;;;
D;004;121367;51;20020617 11:49;V;;;;;;
B;004;121466;52;20020617 11:49;;;6;ELMORE ST;CHARLESTOWN;2290;562.8;M;20020408;20020513;262000;A;R;RESIDENCE;;EY;;;8649172;
C;004;121466;52;20020617 11:49;16//227143;
D;004;121466;52;20020617 11:49;P;;;;;;
D;004;121466;52;20020617 11:49;P;;;;;;
D;004;121466;52;20020617 11:49;V;;;;;;
B;004;123862;53;20020617 11:49;;2;4;ALGONA RD;CHARLESTOWN;2290;;;20020416;20020531;87500;;R;RESIDENCE;2;;;;8659828;
C;004;123862;53;20020617 11:49;2//20974;
D;004;123862;53;20020617 11:49;P;;;;;;
D;004;123862;53;20020617 11:49;V;;;;;;
D;004;123862;53;20020617 11:49;V;;;;;;
D;004;123862;53;20020617 11:49;V;;;;;;
B;004;123862;54;20020617 11:49;;3;4;ALGONA RD;CHARLESTOWN;2290;;;20020416;20020531;87500;;R;RESIDENCE;3;;;;8659828;
C;004;123862;54;20020617 11:49;3//20974;
D;004;123862;54;20020617 11:49;P;;;;;;
D;004;123862;54;20020617 11:49;V;;;;;;
D;004;123862;54;20020617 11:49;V;;;;;;
D;004;123862;54;20020617 11:49;V;;;;;;
